label,step,n_observations,n_unique_actions,shannon_entropy_bits,normalized_shannon_entropy,effective_actions
DQN Agent,0,250,5,1.940545454943802,0.34210154174886864,3.8385074680274123
DQN Agent,1,250,6,2.2001270676488858,0.38786355659362715,4.59519813151271
DQN Agent,2,250,6,2.1511199606951554,0.37922402341350464,4.441724650419615
DQN Agent,3,250,7,2.2419551862810554,0.39523749562508065,4.730377061343066
DQN Agent,4,250,7,2.2260977384256075,0.39244196339689685,4.678667611699982
DQN Agent,5,250,7,2.261010781098868,0.3985968337686462,4.793271904809295
DQN Agent,6,250,8,2.4747195242488473,0.43627185464000123,5.558592122996778
DQN Agent,7,250,8,2.4209469088781397,0.4267922031454575,5.355223952252708
DQN Agent,8,250,9,2.554239849145398,0.45029060677908406,5.873578949927901
DQN Agent,9,250,9,2.414271362006282,0.42561536141208756,5.3305018404774085
DQN Agent,10,250,9,2.322939626717432,0.40951435879279047,5.003506931462358
DQN Agent,11,250,8,2.2487686447643624,0.39643864999425193,4.752770189536807
DQN Agent,12,250,9,2.499917843571387,0.4407141024975608,5.656532120631777
DQN Agent,13,250,11,2.46248206571534,0.4341144955218547,5.511641551516015
DQN Agent,14,250,10,2.3762457631221583,0.4189117740413091,5.191839422354249
DQN Agent,15,250,11,2.490266993025106,0.4390127402116842,5.618819256122615
DQN Agent,16,250,10,2.583202760310499,0.4553965199324575,5.992685906997611
DQN Agent,17,250,10,2.553852981486429,0.45022240532456576,5.872004124316409
DQN Agent,18,250,10,2.5945007943765384,0.45738826656373405,6.039800071069889
DQN Agent,19,250,10,2.752891941640847,0.48531126910945965,6.740669738614635
DQN Agent,20,250,12,2.8403532151034723,0.5007299424616641,7.161953814323938
DQN Agent,21,250,10,2.8068387715639007,0.49482163313732785,6.997496070123839
DQN Agent,22,250,11,2.7032740533032675,0.47656406040308036,6.512782526509183
DQN Agent,23,250,12,2.7164195940572355,0.4788815066384149,6.572396846846014
DQN Agent,24,250,13,2.842432443206337,0.5010964925663398,7.172283143222881
DQN Agent,25,250,13,2.8134509395261427,0.4959873017118117,7.029640639477755
DQN Agent,26,250,12,2.740458292679407,0.4831193232993596,6.68282591335148
DQN Agent,27,250,14,2.7968020736984314,0.4930522492740964,6.948984070381418
DQN Agent,28,250,13,2.815069783195074,0.49627268998425894,7.037533004793692
DQN Agent,29,250,15,2.932510733824042,0.5169765236266336,7.6343786007381125
DQN Agent,30,250,14,2.812077642193665,0.49574520115522674,7.022952328215578
DQN Agent,31,250,15,2.779976018821409,0.4900859599247201,6.868409320513112
DQN Agent,32,250,12,2.585719247042428,0.45584015498804986,6.0031480450341395
DQN Agent,33,250,12,2.5581519400976127,0.45098027490450976,5.889527682516728
DQN Agent,34,250,14,2.691802177477274,0.4745416669585848,6.461200199560807
DQN Agent,35,250,13,2.7973257930029947,0.49314457650151505,6.951507110694224
DQN Agent,36,250,14,2.805396782507074,0.49456742281812677,6.990505492444845
DQN Agent,37,250,15,2.6886963760807543,0.47399414077546537,6.447305634587959
DQN Agent,38,250,14,2.7071152331875044,0.4772412275146182,6.530145934374038
DQN Agent,39,250,14,2.5843927268989266,0.4556063008492062,5.997630845153776
DQN Agent,40,250,12,2.222359284856013,0.3917829060547168,4.666559481760334
DQN Agent,41,250,15,2.42781601120963,0.42800316704844,5.380782572071054
DQN Agent,42,250,12,2.345222084518695,0.41344256524028483,5.081386084592856
DQN Agent,43,250,12,2.076785877551753,0.3661195612721718,4.218663094699998
DQN Agent,44,250,14,2.3010754985582267,0.4056599002779418,4.9282501903154925
DQN Agent,45,250,15,2.3821148574380047,0.4199464450968133,5.213003604358797
DQN Agent,46,250,13,2.379961287364676,0.41956678913952916,5.2052277451338105
DQN Agent,47,250,13,2.2329437020765317,0.3936488481486924,4.700921867215483
DQN Agent,48,250,11,2.1987448629008792,0.38761988573598194,4.590797712248988
DQN Agent,49,250,10,2.0542914936091297,0.3621539940612325,4.153396182681199
